Model,Correlation,Accuracy,seed
ADMM,0.9009647733731728,0.6405307915965285,0
SPoSE,0.8982431040057679,0.6398312310080231,0
ADMM,0.9059982043261328,0.6403515291957239,1
SPoSE,0.8982431040057679,0.6398312310080231,1
ADMM,0.9046646321018779,0.6403493430688848,2
SPoSE,0.8982431040057679,0.6398312310080231,2
ADMM,0.9048750946571662,0.6403843210983101,3
SPoSE,0.8982431040057679,0.6398312310080231,3
ADMM,0.9054492731919878,0.6403056205321033,4
SPoSE,0.8982431040057679,0.6398312310080231,4
ADMM,0.9059610621514631,0.6402072448243447,5
SPoSE,0.8982431040057679,0.6398312310080231,5
ADMM,0.9035777554840088,0.6399449096036552,6
SPoSE,0.8982431040057679,0.6398312310080231,6
ADMM,0.9064406581933803,0.6398815119253219,7
SPoSE,0.8982431040057679,0.6398312310080231,7
ADMM,0.9055856735316248,0.639912117701069,8
SPoSE,0.8982431040057679,0.6398312310080231,8
ADMM,0.904083724959722,0.6402793870100343,9
SPoSE,0.8982431040057679,0.6398312310080231,9
