Model,Data_Percentage,N_Triplets,Accuracy,seed
ADMM,0.05,206033,0.5750584788929454,0
ADMM,0.1,412066,0.6018429049253438,0
ADMM,0.2,824132,0.618188575301139,0
ADMM,0.5,2060331,0.6340467393918195,0
ADMM,1.0,4120663,0.6405307915965285,0
ADMM,0.05,206033,0.5772577224930591,1
ADMM,0.1,412066,0.6006470935443674,1
ADMM,0.2,824132,0.6184815162975756,1
ADMM,0.5,2060331,0.6341079509433137,1
ADMM,1.0,4120663,0.6403515291957239,1
ADMM,0.05,206033,0.5772620947467372,2
ADMM,0.1,412066,0.6009793848239074,2
ADMM,0.2,824132,0.6182650897405068,2
ADMM,0.5,2060331,0.6342413046804976,2
ADMM,1.0,4120663,0.6403493430688848,2
ADMM,0.05,206033,0.5769363618477144,3
ADMM,0.1,412066,0.6017161095686772,3
ADMM,0.2,824132,0.6179306123341276,3
ADMM,0.5,2060331,0.6339811555866471,3
ADMM,1.0,4120663,0.6403843210983101,3
ADMM,0.05,206033,0.5768795225498984,4
ADMM,0.1,412066,0.6006689548127583,4
ADMM,0.2,824132,0.6180027545198172,4
ADMM,0.5,2060331,0.6340139474892333,4
ADMM,1.0,4120663,0.6403056205321033,4
ADMM,0.05,206033,0.5760444220973701,5
ADMM,0.1,412066,0.6014756356163785,5
ADMM,0.2,824132,0.6185711474979778,5
ADMM,0.5,2060331,0.6334062042279693,5
ADMM,1.0,4120663,0.6402072448243447,5
ADMM,0.05,206033,0.5768226832520823,6
ADMM,0.1,412066,0.6003628970552871,6
ADMM,0.2,824132,0.6172747742824038,6
ADMM,0.5,2060331,0.6339833417134862,6
ADMM,1.0,4120663,0.6399449096036552,6
ADMM,0.05,206033,0.5777015062413922,7
ADMM,0.1,412066,0.600579323612356,7
ADMM,0.2,824132,0.618297881643093,7
ADMM,0.5,2060331,0.6342369324268194,7
ADMM,1.0,4120663,0.6398815119253219,7
ADMM,0.05,206033,0.5769647814966224,8
ADMM,0.1,412066,0.601158647224712,8
ADMM,0.2,824132,0.6172004459698752,8
ADMM,0.5,2060331,0.6340773451675666,8
ADMM,1.0,4120663,0.639912117701069,8
ADMM,0.05,206033,0.5771790219268522,9
ADMM,0.1,412066,0.6017335985833898,9
ADMM,0.2,824132,0.6191198653345867,9
ADMM,0.5,2060331,0.6341910237631987,9
ADMM,1.0,4120663,0.6402793870100343,9
