Dimension,Correlation,SNR,Seed
0,0.9971228019106956,1.0,0
1,0.9963427574760688,1.0,0
2,0.9962518661715938,1.0,0
3,0.9961622226380648,1.0,0
4,0.9960754119710882,1.0,0
5,0.9960321085191541,1.0,0
6,0.99576923236801,1.0,0
7,0.9956023240129465,1.0,0
8,0.9953286777393923,1.0,0
9,0.9952773657470906,1.0,0
10,0.9952573819702828,1.0,0
11,0.9952364818522682,1.0,0
12,0.9951511766440497,1.0,0
13,0.9950617925612165,1.0,0
14,0.9948296337920305,1.0,0
15,0.9947109133539385,1.0,0
16,0.9946928475630007,1.0,0
17,0.9946461132719993,1.0,0
18,0.9944770879648323,1.0,0
19,0.9943320180781724,1.0,0
20,0.9943188193828364,1.0,0
21,0.9942384680088262,1.0,0
22,0.9941357849113357,1.0,0
23,0.9941019117400409,1.0,0
24,0.9937363965451383,1.0,0
25,0.9934728372025281,1.0,0
26,0.9934598124657492,1.0,0
27,0.9934339088386139,1.0,0
28,0.9933959272155767,1.0,0
29,0.9933166303565185,1.0,0
30,0.9928689275581996,1.0,0
31,0.9926925507403578,1.0,0
32,0.992261400957076,1.0,0
33,0.9922279786037007,1.0,0
34,0.992164825885661,1.0,0
35,0.9920469770026188,1.0,0
36,0.9913245150957272,1.0,0
37,0.9912244957932647,1.0,0
38,0.9898636296080124,1.0,0
39,0.988785944783229,1.0,0
40,0.9885720695156043,1.0,0
41,0.9874220273163417,1.0,0
42,0.975256870466978,1.0,0
43,0.9639823907195987,1.0,0
44,0.9506644169684779,1.0,0
45,0.9076794954463845,1.0,0
46,0.6730952476635036,1.0,0
47,0.4082369766866797,1.0,0
48,0.1092220471163685,1.0,0
0,0.9971404595869746,1.0,1
1,0.9963445621102696,1.0,1
2,0.9962372210574786,1.0,1
3,0.9958262616570823,1.0,1
4,0.9958036108591531,1.0,1
5,0.9956998370473608,1.0,1
6,0.9956948684824943,1.0,1
7,0.9952698568150534,1.0,1
8,0.9952127250113624,1.0,1
9,0.9950311458463994,1.0,1
10,0.9946660253632245,1.0,1
11,0.9945193388933457,1.0,1
12,0.994509568035266,1.0,1
13,0.9945026408202826,1.0,1
14,0.9943957725701685,1.0,1
15,0.9943593293490164,1.0,1
16,0.9942965714287478,1.0,1
17,0.9942851692899287,1.0,1
18,0.9940329149623723,1.0,1
19,0.9940052407111771,1.0,1
20,0.9939336500541497,1.0,1
21,0.993516261146296,1.0,1
22,0.9933341548793335,1.0,1
23,0.993099953432273,1.0,1
24,0.9928265986292583,1.0,1
25,0.9927349971033217,1.0,1
26,0.9927327661579346,1.0,1
27,0.992523291441868,1.0,1
28,0.9925135332345058,1.0,1
29,0.9923973993581606,1.0,1
30,0.9922796647664597,1.0,1
31,0.9920474312758127,1.0,1
32,0.9914245266778435,1.0,1
33,0.9914030751623699,1.0,1
34,0.9913136076744832,1.0,1
35,0.9902925134938025,1.0,1
36,0.9902479416007092,1.0,1
37,0.9882257337575013,1.0,1
38,0.9872720315017279,1.0,1
39,0.976877791184857,1.0,1
40,0.9711103678451907,1.0,1
41,0.966911637473938,1.0,1
42,0.9620129309882671,1.0,1
43,0.9445540767079087,1.0,1
44,0.9211351335860194,1.0,1
45,0.9120446170892966,1.0,1
46,0.8796864631156859,1.0,1
47,0.5060423868711919,1.0,1
48,0.19417788393210947,1.0,1
0,0.9971323242640292,1.0,2
1,0.9964038763799434,1.0,2
2,0.9962181609100285,1.0,2
3,0.9960637866969645,1.0,2
4,0.9959067204583012,1.0,2
5,0.9959016271819993,1.0,2
6,0.9958343266200269,1.0,2
7,0.9956849974705114,1.0,2
8,0.9953590415481758,1.0,2
9,0.9953088996816438,1.0,2
10,0.9952038462683398,1.0,2
11,0.9949959239443688,1.0,2
12,0.9949937005450872,1.0,2
13,0.9949490395453298,1.0,2
14,0.9947723125654527,1.0,2
15,0.9946891290381573,1.0,2
16,0.994628783762114,1.0,2
17,0.9944460543833077,1.0,2
18,0.9944091642558911,1.0,2
19,0.9943702874468575,1.0,2
20,0.9942542205254798,1.0,2
21,0.9939807226129403,1.0,2
22,0.9935665006008526,1.0,2
23,0.9934610363430572,1.0,2
24,0.9934460528959462,1.0,2
25,0.9933858933308404,1.0,2
26,0.9933721253407449,1.0,2
27,0.9933571081708547,1.0,2
28,0.9933073062145443,1.0,2
29,0.9929553340403353,1.0,2
30,0.9923584481201747,1.0,2
31,0.9921907884419012,1.0,2
32,0.9920788614973132,1.0,2
33,0.9920167693835957,1.0,2
34,0.9908989968167845,1.0,2
35,0.9908178431043673,1.0,2
36,0.9905322124549081,1.0,2
37,0.990482271347672,1.0,2
38,0.9900093961123612,1.0,2
39,0.9889038477685063,1.0,2
40,0.9876395061922746,1.0,2
41,0.974954168511891,1.0,2
42,0.9633613020399721,1.0,2
43,0.9550747106847106,1.0,2
44,0.9051123237102799,1.0,2
45,0.8784677015759095,1.0,2
46,0.8676444547785204,1.0,2
47,0.5701086118885366,1.0,2
48,0.050846477170656185,1.0,2
0,0.9970395495739813,1.0,3
1,0.9964604362241894,1.0,3
2,0.9963209281169217,1.0,3
3,0.9961377045075498,1.0,3
4,0.9957531417360643,1.0,3
5,0.9957173540469857,1.0,3
6,0.9954686524433867,1.0,3
7,0.9954575706175977,1.0,3
8,0.9954241552132997,1.0,3
9,0.9954097226372804,1.0,3
10,0.9954038136632205,1.0,3
11,0.9953476974071486,1.0,3
12,0.9951764679598816,1.0,3
13,0.995146325627442,1.0,3
14,0.9951152107449133,1.0,3
15,0.9949705656324943,1.0,3
16,0.9948023900851967,1.0,3
17,0.9947179503318646,1.0,3
18,0.994699595244974,1.0,3
19,0.9946918075883826,1.0,3
20,0.9945916598522594,1.0,3
21,0.9942851169498114,1.0,3
22,0.9942716287168252,1.0,3
23,0.994205255264337,1.0,3
24,0.9941906100409877,1.0,3
25,0.9940156185623388,1.0,3
26,0.9939843223282143,1.0,3
