Dimension,Reliability
0,0.9800217697526302
1,0.9747015823146529
2,0.8632896449171928
3,0.8964612216567421
4,0.8908987998542177
5,0.9742446300906509
6,0.9716607303838346
7,0.7887679511969925
8,0.7837731454968836
9,0.8691243385721987
10,0.9191885326734838
11,0.9804584705045675
12,0.9678488107363611
13,0.9511715747445557
14,0.9455769094197891
15,0.9744525782215396
16,0.9505936437897844
17,0.8646612755047712
18,0.9474780453384549
19,0.8460337037164599
20,0.9685468033390835
21,0.8739284470456412
22,0.948599761477656
23,0.9923428554718534
24,0.9942412716967935
25,0.9702587370921978
26,0.9723565870770716
27,0.8589748672865162
28,0.9586817706181681
29,0.8238799661059153
30,0.8791966551822492
31,0.8788323795373606
32,0.6815967712075379
33,0.9913299432893704
34,0.899083952258362
35,0.9686346010089673
36,0.9679604447575452
37,0.9652328393449967
38,0.9817493550184866
39,0.9797838188355763
40,0.7757946358956818
41,0.9756617818950878
42,0.9657420577355925
43,0.9753295336711185
44,0.9750223019413796
45,0.6665746019278225
46,0.9869606313685458
47,0.991471860136142
48,0.9315282421492245
