n_objects,train_ratio,trial_id,rank,true_rank,rmse,seed
100,0.4,0,8,10,0.24063711952657285,0
100,0.4,0,9,10,0.27418541045436023,0
100,0.4,0,10,10,0.2931313297136275,0
100,0.4,0,11,10,0.32238634409680894,0
100,0.4,0,12,10,0.3377329473093314,0
100,0.4,1,8,10,0.28651482493781,1
100,0.4,1,9,10,0.30515718275967757,1
100,0.4,1,10,10,0.3377979556604292,1
100,0.4,1,11,10,0.3630477042346977,1
100,0.4,1,12,10,0.3920956208379727,1
100,0.4,2,8,10,0.2769023495132205,2
100,0.4,2,9,10,0.29880033586207017,2
100,0.4,2,10,10,0.3091033304219247,2
100,0.4,2,11,10,0.3235695084779035,2
100,0.4,2,12,10,0.3432423011242439,2
100,0.4,3,8,10,0.2171515515544577,3
100,0.4,3,9,10,0.23826223310340336,3
100,0.4,3,10,10,0.2556174240466496,3
100,0.4,3,11,10,0.26739768439180045,3
100,0.4,3,12,10,0.279041026431775,3
100,0.4,4,8,10,0.2667000527248398,4
100,0.4,4,9,10,0.30399247752139713,4
100,0.4,4,10,10,0.3019574736186145,4
100,0.4,4,11,10,0.34010793442490805,4
100,0.4,4,12,10,0.37804566371951526,4
100,0.45,0,8,10,0.1833591343606555,5
100,0.45,0,9,10,0.21275840312667835,5
100,0.45,0,10,10,0.2297357176402421,5
100,0.45,0,11,10,0.2500797757048646,5
100,0.45,0,12,10,0.27368651760887186,5
100,0.45,1,8,10,0.20195843637249844,6
100,0.45,1,9,10,0.21790665097425702,6
100,0.45,1,10,10,0.23186218886757376,6
100,0.45,1,11,10,0.2525157795864289,6
100,0.45,1,12,10,0.26190986132512645,6
100,0.45,2,8,10,0.1440157069817085,7
100,0.45,2,9,10,0.16648700463284727,7
100,0.45,2,10,10,0.18539850141901779,7
100,0.45,2,11,10,0.20489217860971273,7
100,0.45,2,12,10,0.21034581518193937,7
100,0.45,3,8,10,0.15694031422719032,8
100,0.45,3,9,10,0.17846192506222963,8
100,0.45,3,10,10,0.19141302443220704,8
100,0.45,3,11,10,0.20461838495086007,8
100,0.45,3,12,10,0.20402333676037607,8
100,0.45,4,8,10,0.25666059112921696,9
100,0.45,4,9,10,0.28241292981818145,9
100,0.45,4,10,10,0.291201431633828,9
100,0.45,4,11,10,0.3328955463292111,9
100,0.45,4,12,10,0.3384080941780656,9
100,0.5,0,8,10,0.11663696063713819,10
100,0.5,0,9,10,0.1369523819962478,10
100,0.5,0,10,10,0.1517882054049245,10
100,0.5,0,11,10,0.1770772627774684,10
100,0.5,0,12,10,0.18327986828494677,10
100,0.5,1,8,10,0.11428219078131792,11
100,0.5,1,9,10,0.12551165133811137,11
100,0.5,1,10,10,0.14635653281763963,11
100,0.5,1,11,10,0.15101693004393243,11
100,0.5,1,12,10,0.16047961255052218,11
100,0.5,2,8,10,0.1398993846771952,12
100,0.5,2,9,10,0.1599146888851192,12
100,0.5,2,10,10,0.16738929508891853,12
100,0.5,2,11,10,0.1908421423973982,12
100,0.5,2,12,10,0.2144683560337799,12
100,0.5,3,8,10,0.11049669211217115,13
100,0.5,3,9,10,0.1147283426210116,13
100,0.5,3,10,10,0.12765425113893605,13
100,0.5,3,11,10,0.14398955332492275,13
100,0.5,3,12,10,0.15631491036052572,13
100,0.5,4,8,10,0.15233912869450925,14
100,0.5,4,9,10,0.161832583150217,14
100,0.5,4,10,10,0.1879638785237262,14
100,0.5,4,11,10,0.20642019009645082,14
100,0.5,4,12,10,0.22725177259745133,14
100,0.55,0,8,10,0.09620421518257335,15
100,0.55,0,9,10,0.11119554179822402,15
100,0.55,0,10,10,0.14238304331419885,15
100,0.55,0,11,10,0.14673547956647054,15
100,0.55,0,12,10,0.15588856651394384,15
100,0.55,1,8,10,0.09714541161088924,16
100,0.55,1,9,10,0.11102328395188983,16
100,0.55,1,10,10,0.11537902616067165,16
100,0.55,1,11,10,0.14192096303249654,16
100,0.55,1,12,10,0.14153377895209276,16
100,0.55,2,8,10,0.06107614273540563,17
100,0.55,2,9,10,0.05984697472667541,17
100,0.55,2,10,10,0.06695766925672057,17
100,0.55,2,11,10,0.06903523553019465,17
100,0.55,2,12,10,0.07305421688637116,17
100,0.55,3,8,10,0.08549464357035294,18
100,0.55,3,9,10,0.09778044277679632,18
100,0.55,3,10,10,0.1055278212473436,18
100,0.55,3,11,10,0.11910136027185925,18
100,0.55,3,12,10,0.12865164591873565,18
100,0.55,4,8,10,0.08381282186165064,19
100,0.55,4,9,10,0.09452474901901914,19
100,0.55,4,10,10,0.10497859373869278,19
100,0.55,4,11,10,0.12648098905444982,19
100,0.55,4,12,10,0.12434605920472652,19
100,0.6,0,8,10,0.056566441991083356,20
100,0.6,0,9,10,0.05982074809225647,20
100,0.6,0,10,10,0.06891186662871504,20
100,0.6,0,11,10,0.07805916555283585,20
100,0.6,0,12,10,0.08674677823255503,20
100,0.6,1,8,10,0.04666686036803663,21
100,0.6,1,9,10,0.062481026832168156,21
100,0.6,1,10,10,0.06828203573261417,21
100,0.6,1,11,10,0.0702575902084971,21
100,0.6,1,12,10,0.08289920611787881,21
100,0.6,2,8,10,0.03685588872642131,22
100,0.6,2,9,10,0.04372648088002569,22
100,0.6,2,10,10,0.04579495788374249,22
100,0.6,2,11,10,0.0559278986202929,22
100,0.6,2,12,10,0.06479364231779908,22
100,0.6,3,8,10,0.041586442276315284,23
100,0.6,3,9,10,0.05049603333099764,23
100,0.6,3,10,10,0.04474930158019858,23
100,0.6,3,11,10,0.05914889972453148,23
100,0.6,3,12,10,0.06452585088565113,23
100,0.6,4,8,10,0.05003149124731865,24
100,0.6,4,9,10,0.06669579850985466,24
